location,mapset,map,id0,lw,class,"m^2"
modis,mcd12q1,2002_lct1_reclass,143,5,1,214656.431548
modis,mcd12q1,2002_lct1_reclass,143,7,1,1839176305.501753
modis,mcd12q1,2002_lct1_reclass,143,7,2,2361220.747026
modis,mcd12q1,2002_lct1_reclass,143,10,1,367277154.378284
modis,mcd12q1,2002_lct1_reclass,143,10,2,858625.726191
modis,mcd12q1,2002_lct1_reclass,143,11,1,429312.863096
modis,mcd12q1,2002_lct1_reclass,143,12,1,215085744.410886
modis,mcd12q1,2002_lct1_reclass,143,13,1,86291885.482212
modis,mcd12q1,2002_lct1_reclass,143,13,2,2790533.610121
modis,mcd12q1,2002_lct1_reclass,143,14,1,14381980.913702
modis,mcd12q1,2002_lct1_reclass,143,16,1,256943748.562706
modis,mcd12q1,2002_lct1_reclass,143,16,2,3434502.904765
modis,mcd12q1,2002_lct1_reclass,143,16,3,858625.726191
modis,mcd12q1,2002_lct1_reclass,234,0,0,4965003261.700343
modis,mcd12q1,2002_lct1_reclass,234,0,1,4993552567.096243
modis,mcd12q1,2002_lct1_reclass,234,0,2,10675293653.734129
modis,mcd12q1,2002_lct1_reclass,234,0,3,79024906648.942627
modis,mcd12q1,2002_lct1_reclass,234,0,5,106339508250.698975
modis,mcd12q1,2002_lct1_reclass,234,0,6,2575877.178573
modis,mcd12q1,2002_lct1_reclass,234,0,7,214656.431548
modis,mcd12q1,2002_lct1_reclass,234,5,1,1419456867672.197266
modis,mcd12q1,2002_lct1_reclass,234,5,2,22867349652.800537
modis,mcd12q1,2002_lct1_reclass,234,5,3,5714798177.097921
modis,mcd12q1,2002_lct1_reclass,234,7,1,1275458035008.990234
modis,mcd12q1,2002_lct1_reclass,234,7,2,19996749193.694794
modis,mcd12q1,2002_lct1_reclass,234,7,3,4722012181.187873
modis,mcd12q1,2002_lct1_reclass,234,10,1,2196411832375.525391
modis,mcd12q1,2002_lct1_reclass,234,10,2,13961039651.426582
modis,mcd12q1,2002_lct1_reclass,234,10,3,2445580724.624183
modis,mcd12q1,2002_lct1_reclass,234,11,1,44809100772.883606
modis,mcd12q1,2002_lct1_reclass,234,11,2,12444491962.545862
modis,mcd12q1,2002_lct1_reclass,234,11,3,650408987.589828
modis,mcd12q1,2002_lct1_reclass,234,12,1,1454148996184.660156
modis,mcd12q1,2002_lct1_reclass,234,12,2,8277366656.919361
modis,mcd12q1,2002_lct1_reclass,234,12,3,869358547.768544
modis,mcd12q1,2002_lct1_reclass,234,13,1,115646367153.372101
modis,mcd12q1,2002_lct1_reclass,234,13,2,4311374427.636322
modis,mcd12q1,2002_lct1_reclass,234,13,3,67831432.369102
modis,mcd12q1,2002_lct1_reclass,234,14,1,995951963520.739746
modis,mcd12q1,2002_lct1_reclass,234,14,2,9239671439.546690
modis,mcd12q1,2002_lct1_reclass,234,14,3,736486216.640480
modis,mcd12q1,2002_lct1_reclass,234,16,1,118285138666.404846
modis,mcd12q1,2002_lct1_reclass,234,16,2,2648216396.005157
modis,mcd12q1,2002_lct1_reclass,234,16,3,1146265344.465196
modis,mcd12q1,2002_lct1_reclass,,0,0,80825659453.207794
modis,mcd12q1,2002_lct1_reclass,,0,1,955221120.387648
modis,mcd12q1,2002_lct1_reclass,,0,2,9436726043.706987
modis,mcd12q1,2002_lct1_reclass,,0,3,2075942349.499065
modis,mcd12q1,2002_lct1_reclass,,0,6,794658109.589923
modis,mcd12q1,2002_lct1_reclass,,0,7,129437828.223318
modis,mcd12q1,2002_lct1_reclass,,5,1,1690419398.439072
modis,mcd12q1,2002_lct1_reclass,,5,2,1000942940.307321
modis,mcd12q1,2002_lct1_reclass,,5,3,59889144.401834
modis,mcd12q1,2002_lct1_reclass,,7,1,360193492.137206
modis,mcd12q1,2002_lct1_reclass,,7,2,486411473.887324
modis,mcd12q1,2002_lct1_reclass,,7,3,11376790.872033
modis,mcd12q1,2002_lct1_reclass,,10,1,40140752.699437
modis,mcd12q1,2002_lct1_reclass,,10,2,77920284.651848
modis,mcd12q1,2002_lct1_reclass,,10,3,643969.294643
modis,mcd12q1,2002_lct1_reclass,,11,1,864636106.274493
modis,mcd12q1,2002_lct1_reclass,,11,2,1973551231.650726
modis,mcd12q1,2002_lct1_reclass,,11,3,40355409.130985
modis,mcd12q1,2002_lct1_reclass,,12,1,42287317.014915
modis,mcd12q1,2002_lct1_reclass,,12,2,21036330.291684
modis,mcd12q1,2002_lct1_reclass,,13,1,169578580.922755
modis,mcd12q1,2002_lct1_reclass,,13,2,193190788.393012
modis,mcd12q1,2002_lct1_reclass,,13,3,3005190.041669
modis,mcd12q1,2002_lct1_reclass,,14,1,25114802.491092
modis,mcd12q1,2002_lct1_reclass,,14,2,4722441.494051
modis,mcd12q1,2002_lct1_reclass,,14,3,214656.431548
modis,mcd12q1,2002_lct1_reclass,,16,1,256299779.268062
modis,mcd12q1,2002_lct1_reclass,,16,2,1172668085.545585
modis,mcd12q1,2002_lct1_reclass,,16,3,35847624.068481
modis,mcd12q1,2003_lct1_reclass,41,,0,1073282.157739
modis,mcd12q1,2003_lct1_reclass,41,,1,1332587127.048756
modis,mcd12q1,2003_lct1_reclass,41,,2,190829567.645986
modis,mcd12q1,2003_lct1_reclass,41,,3,748292320.375607
modis,mcd12q1,2003_lct1_reclass,41,,5,1389471081.408944
modis,mcd12q1,2003_lct1_reclass,143,,0,2790533.610121
modis,mcd12q1,2003_lct1_reclass,143,,1,2785811168.627195
modis,mcd12q1,2003_lct1_reclass,143,,2,10088852.282746
modis,mcd12q1,2003_lct1_reclass,143,,3,1073282.157739
modis,mcd12q1,2003_lct1_reclass,234,,0,4965003261.700343
modis,mcd12q1,2003_lct1_reclass,234,,1,7625161856329.630859
modis,mcd12q1,2003_lct1_reclass,234,,2,104421553034.808014
modis,mcd12q1,2003_lct1_reclass,234,,3,95377648260.782501
modis,mcd12q1,2003_lct1_reclass,234,,5,106339508250.698975
modis,mcd12q1,2003_lct1_reclass,234,,6,2575877.178573
modis,mcd12q1,2003_lct1_reclass,234,,7,214656.431548
modis,mcd12q1,2003_lct1_reclass,,,0,80825659453.207794
modis,mcd12q1,2003_lct1_reclass,,,1,4403891349.633561
modis,mcd12q1,2003_lct1_reclass,,,2,14367169619.913818
modis,mcd12q1,2003_lct1_reclass,,,3,2227275133.740232
modis,mcd12q1,2003_lct1_reclass,,,6,794658109.589923
modis,mcd12q1,2003_lct1_reclass,,,7,129437828.223318
modis,mcd12q1,2004_lct1_reclass,41,0,0,1073282.157739
modis,mcd12q1,2004_lct1_reclass,41,0,1,1287938.589287
modis,mcd12q1,2004_lct1_reclass,41,0,2,44433881.330393
modis,mcd12q1,2004_lct1_reclass,41,0,3,696130807.509501
modis,mcd12q1,2004_lct1_reclass,41,0,5,1389471081.408944
modis,mcd12q1,2004_lct1_reclass,41,5,1,784354600.875630
modis,mcd12q1,2004_lct1_reclass,41,5,2,64611585.895885
modis,mcd12q1,2004_lct1_reclass,41,5,3,37994188.383959
modis,mcd12q1,2004_lct1_reclass,41,7,1,15025950.208345
modis,mcd12q1,2004_lct1_reclass,41,7,2,10303508.714294
modis,mcd12q1,2004_lct1_reclass,41,7,3,4722441.494051
modis,mcd12q1,2004_lct1_reclass,41,10,1,25544115.354187
modis,mcd12q1,2004_lct1_reclass,41,10,2,3434502.904765
modis,mcd12q1,2004_lct1_reclass,41,10,3,1502595.020835
modis,mcd12q1,2004_lct1_reclass,41,11,1,8586257.261912
modis,mcd12q1,2004_lct1_reclass,41,11,2,41214034.857176
modis,mcd12q1,2004_lct1_reclass,41,11,3,6439692.946434
modis,mcd12q1,2004_lct1_reclass,41,12,1,77705628.220300
modis,mcd12q1,2004_lct1_reclass,41,12,2,6010380.083338
modis,mcd12q1,2004_lct1_reclass,41,12,3,858625.726191
modis,mcd12q1,2004_lct1_reclass,41,13,1,22109612.449422
modis,mcd12q1,2004_lct1_reclass,41,13,2,3005190.041669
modis,mcd12q1,2004_lct1_reclass,41,14,1,397973024.089622
modis,mcd12q1,2004_lct1_reclass,41,14,2,17387170.955371
modis,mcd12q1,2004_lct1_reclass,41,14,3,643969.294643
modis,mcd12q1,2004_lct1_reclass,41,16,2,429312.863096
modis,mcd12q1,2004_lct1_reclass,143,0,0,2790533.610121
modis,mcd12q1,2004_lct1_reclass,143,0,1,21250986.723231
modis,mcd12q1,2004_lct1_reclass,143,0,2,1287938.589287
modis,mcd12q1,2004_lct1_reclass,143,0,3,214656.431548
modis,mcd12q1,2004_lct1_reclass,143,5,1,214656.431548
modis,mcd12q1,2004_lct1_reclass,143,7,1,1810841656.537433
modis,mcd12q1,2004_lct1_reclass,143,7,2,4937097.925599
modis,mcd12q1,2004_lct1_reclass,143,7,3,858625.726191
modis,mcd12q1,2004_lct1_reclass,143,10,1,402480809.152126
modis,mcd12q1,2004_lct1_reclass,143,10,2,429312.863096
modis,mcd12q1,2004_lct1_reclass,143,11,1,5581067.220243
modis,mcd12q1,2004_lct1_reclass,143,12,1,164641482.997156
modis,mcd12q1,2004_lct1_reclass,143,13,1,86291885.482212
modis,mcd12q1,2004_lct1_reclass,143,13,2,2790533.610121
modis,mcd12q1,2004_lct1_reclass,143,14,1,26188084.648830
modis,mcd12q1,2004_lct1_reclass,143,16,1,268320539.434738
modis,mcd12q1,2004_lct1_reclass,143,16,2,643969.294643
modis,mcd12q1,2004_lct1_reclass,234,0,0,4965003261.700343
modis,mcd12q1,2004_lct1_reclass,234,0,1,4503062621.008792
modis,mcd12q1,2004_lct1_reclass,234,0,2,10728313792.326279
modis,mcd12q1,2004_lct1_reclass,234,0,3,78178301682.913086
